id,name,company_size,industry,location,remote_policy,available_accommodations
41,Excalibur Systems,medium,finance,Moorebury,hybrid,"['physical workspace modifications', 'modified training materials', 'flexible schedule', 'remote work']"
42,Beacon Analytics,small,retail,Samanthashire,remote-friendly,"['noise reduction', 'physical workspace modifications', 'remote work', 'flexible schedule', 'interpreter services']"
43,Paragon Solutions,medium,healthcare,Danielview,remote-friendly,"['flexible schedule', 'interpreter services', 'assistive technology', 'remote work']"
44,Odyssey Ventures,medium,healthcare,Lake Gregory,in-office,"['remote work', 'assistive technology']"
45,Solstice Innovations,large,manufacturing,Mitchellberg,in-office,"['interpreter services', 'noise reduction', 'physical workspace modifications', 'remote work', 'flexible schedule', 'modified training materials']"
46,Vanguard Enterprises,small,retail,East Juliaburgh,in-office,"['assistive technology', 'flexible schedule', 'physical workspace modifications', 'noise reduction', 'modified training materials', 'remote work']"
47,Trident Maritime,small,finance,New Krystalville,in-office,"['flexible schedule', 'noise reduction', 'interpreter services', 'remote work']"
48,Kodiak Industries,large,healthcare,Williamsfurt,in-office,"['flexible schedule', 'assistive technology']"
49,Momentum Dynamics,small,retail,Rodriguezhaven,remote-friendly,"['assistive technology', 'modified training materials', 'noise reduction', 'remote work', 'physical workspace modifications', 'flexible schedule']"
50,Rhapsody Media,medium,manufacturing,East Frank,remote-friendly,"['noise reduction', 'interpreter services', 'modified training materials', 'assistive technology', 'physical workspace modifications', 'remote work']"
51,Sapphire Technologies,medium,healthcare,Timbury,hybrid,"['modified training materials', 'assistive technology', 'noise reduction', 'flexible schedule', 'remote work']"
52,Ascend Aerospace,small,healthcare,East Amandatown,hybrid,"['interpreter services', 'remote work', 'flexible schedule', 'physical workspace modifications', 'noise reduction']"
53,Cerberus Security,large,retail,North Matthewchester,in-office,"['physical workspace modifications', 'interpreter services', 'flexible schedule', 'assistive technology']"
54,Elysium Software,small,retail,South Priscilla,remote-friendly,"['modified training materials', 'assistive technology', 'flexible schedule', 'noise reduction', 'remote work']"
55,Falcon Precision,medium,manufacturing,West Terrifurt,hybrid,"['noise reduction', 'physical workspace modifications', 'remote work', 'flexible schedule', 'modified training materials', 'interpreter services']"
56,Genesis Biotech,medium,finance,Turnerside,in-office,"['modified training materials', 'interpreter services', 'remote work']"
57,Hyperion Energy,medium,tech,Moralesfurt,in-office,"['physical workspace modifications', 'noise reduction', 'remote work', 'modified training materials', 'flexible schedule', 'assistive technology']"
58,Indigo Designs,medium,manufacturing,Holtfort,remote-friendly,"['physical workspace modifications', 'noise reduction', 'modified training materials', 'remote work']"
59,Javelin Robotics,medium,healthcare,Lake Carol,in-office,"['modified training materials', 'remote work', 'interpreter services', 'physical workspace modifications']"
60,Krypton Systems,small,healthcare,Jessicachester,hybrid,"['remote work', 'physical workspace modifications', 'flexible schedule']"
61,Labyrinth Networks,large,healthcare,South Cynthia,remote-friendly,"['assistive technology', 'modified training materials', 'flexible schedule', 'noise reduction', 'remote work']"
62,Mosaic Solutions,small,retail,West Joshuabury,remote-friendly,"['physical workspace modifications', 'modified training materials', 'noise reduction', 'flexible schedule', 'interpreter services', 'remote work']"
63,Nautilus Marine,large,retail,New Brent,remote-friendly,"['physical workspace modifications', 'noise reduction', 'remote work']"
64,Obelisk Construction,small,retail,Nicolemouth,in-office,"['remote work', 'interpreter services', 'assistive technology', 'modified training materials', 'flexible schedule', 'physical workspace modifications']"
65,Phantom Security,small,manufacturing,East Billyberg,remote-friendly,"['flexible schedule', 'noise reduction', 'remote work']"
66,Quicksilver Data,large,retail,Jordanmouth,hybrid,"['remote work', 'flexible schedule', 'noise reduction', 'modified training materials']"
67,Redshift Technologies,small,retail,North Rick,in-office,"['interpreter services', 'modified training materials']"
68,Singularity AI,small,finance,Elliottchester,in-office,"['physical workspace modifications', 'remote work', 'noise reduction', 'modified training materials', 'flexible schedule']"
69,Tectonic Industries,medium,healthcare,Annburgh,hybrid,"['assistive technology', 'noise reduction', 'flexible schedule', 'modified training materials', 'remote work']"
70,Umbra Defense,medium,manufacturing,Port Lawrence,in-office,"['flexible schedule', 'physical workspace modifications', 'interpreter services', 'modified training materials']"
71,Verdant Agriculture,medium,manufacturing,Kellymouth,remote-friendly,"['physical workspace modifications', 'assistive technology', 'noise reduction', 'modified training materials', 'remote work']"
72,Wavelength Communications,large,tech,East Timothy,hybrid,"['remote work', 'interpreter services', 'physical workspace modifications']"
73,Xenon Medical,large,finance,Kerrbury,hybrid,"['noise reduction', 'remote work', 'interpreter services']"
74,Yellowstone Energy,small,finance,Watersfort,hybrid,"['assistive technology', 'modified training materials', 'noise reduction', 'remote work', 'interpreter services']"
75,Zephyr Aerospace,large,manufacturing,Shannonberg,remote-friendly,"['assistive technology', 'modified training materials', 'physical workspace modifications', 'flexible schedule', 'interpreter services', 'noise reduction', 'remote work']"
76,Alcyone Ventures,medium,finance,Beckview,remote-friendly,"['flexible schedule', 'assistive technology', 'remote work']"
77,Basilisk Systems,medium,finance,Greentown,in-office,"['interpreter services', 'assistive technology']"
78,Chimera Technologies,large,tech,East Lynnshire,in-office,"['modified training materials', 'remote work']"
79,Daedalus Engineering,small,tech,Sherryfort,in-office,"['modified training materials', 'interpreter services', 'assistive technology', 'noise reduction']"
80,Echo Dynamics,medium,manufacturing,New Susanfort,remote-friendly,"['flexible schedule', 'interpreter services', 'remote work']"
81,Frostbite Gaming,large,retail,Port Aprilborough,remote-friendly,"['interpreter services', 'remote work', 'physical workspace modifications', 'assistive technology', 'flexible schedule', 'noise reduction']"
82,Gorgon Security,small,healthcare,Dudleyton,hybrid,"['assistive technology', 'interpreter services', 'remote work']"
83,Hephaestus Robotics,medium,manufacturing,West Susan,in-office,"['flexible schedule', 'interpreter services', 'remote work', 'noise reduction']"
84,Icarus Aviation,small,tech,New Randyborough,hybrid,"['assistive technology', 'noise reduction', 'interpreter services', 'physical workspace modifications', 'remote work']"
85,Janus Consulting,small,healthcare,Simpsonchester,hybrid,"['remote work', 'modified training materials', 'interpreter services', 'flexible schedule', 'physical workspace modifications', 'assistive technology']"
86,Kronos Industries,large,healthcare,Port Ashleytown,hybrid,"['noise reduction', 'physical workspace modifications', 'remote work', 'interpreter services']"
87,Leviathan Energy,medium,healthcare,Parkerchester,hybrid,"['remote work', 'flexible schedule', 'assistive technology', 'noise reduction', 'interpreter services', 'modified training materials']"
88,Midas Financial,medium,tech,East Peter,remote-friendly,"['flexible schedule', 'remote work', 'noise reduction', 'interpreter services']"
89,Nemesis Defense,medium,finance,Simsstad,in-office,"['flexible schedule', 'modified training materials', 'assistive technology', 'noise reduction']"
90,Olympus Technologies,large,retail,Rodgerstown,hybrid,"['noise reduction', 'remote work']"
91,Pegasus Transport,medium,finance,Johntown,remote-friendly,"['remote work', 'assistive technology', 'interpreter services', 'physical workspace modifications']"
92,Quasar Computing,large,healthcare,Jacquelinestad,in-office,"['physical workspace modifications', 'modified training materials', 'remote work', 'noise reduction']"
93,Ragnarok Systems,small,finance,Lewisfurt,hybrid,"['assistive technology', 'noise reduction', 'modified training materials', 'interpreter services', 'physical workspace modifications', 'remote work']"
94,Scylla Maritime,large,finance,Port Noah,in-office,"['assistive technology', 'flexible schedule', 'noise reduction']"
95,Theseus Solutions,medium,manufacturing,East Devinside,in-office,"['physical workspace modifications', 'flexible schedule', 'assistive technology']"
96,Ursa Major Industries,large,manufacturing,Johnmouth,hybrid,"['assistive technology', 'remote work']"
97,Volans Aerospace,small,healthcare,West Joannabury,remote-friendly,"['noise reduction', 'modified training materials', 'remote work', 'assistive technology', 'flexible schedule', 'physical workspace modifications']"
98,Wyvern Security,large,manufacturing,Lake Carla,hybrid,"['interpreter services', 'flexible schedule', 'remote work']"
99,Xiphos Defense,medium,tech,North Sarahland,remote-friendly,"['remote work', 'noise reduction', 'modified training materials', 'flexible schedule']"
100,Yggdrasil Networks,medium,manufacturing,Melissastad,in-office,"['noise reduction', 'interpreter services', 'remote work']"
101,Zenobia Technologies,small,retail,New Victoriaside,remote-friendly,"['modified training materials', 'remote work', 'flexible schedule', 'physical workspace modifications']"
102,Arcadia Software,small,healthcare,Port Tracymouth,hybrid,"['modified training materials', 'remote work', 'flexible schedule']"
103,Bellerophon Robotics,large,healthcare,Medinastad,in-office,"['modified training materials', 'remote work', 'noise reduction', 'assistive technology', 'interpreter services', 'physical workspace modifications']"
104,Calypso Entertainment,small,manufacturing,West Aaronfurt,in-office,"['modified training materials', 'interpreter services', 'physical workspace modifications', 'noise reduction', 'flexible schedule']"
105,Demeter Agriculture,small,retail,Burchtown,in-office,"['remote work', 'modified training materials', 'noise reduction']"
106,Eos Energy,large,tech,Robinhaven,hybrid,"['flexible schedule', 'modified training materials', 'remote work']"
107,Fortuna Financial,large,tech,New Julie,remote-friendly,"['noise reduction', 'interpreter services', 'assistive technology', 'remote work']"
108,Gryphon Aerospace,small,healthcare,Rodriguezchester,remote-friendly,"['physical workspace modifications', 'remote work', 'interpreter services', 'modified training materials', 'assistive technology']"
109,Hydra Networks,large,finance,Justinville,in-office,"['assistive technology', 'flexible schedule', 'interpreter services', 'physical workspace modifications']"
110,Iris Optics,medium,retail,West Richard,hybrid,"['remote work', 'interpreter services', 'noise reduction', 'flexible schedule', 'modified training materials', 'physical workspace modifications']"
111,Jupiter Systems,medium,tech,East Logan,remote-friendly,"['interpreter services', 'flexible schedule', 'physical workspace modifications', 'modified training materials', 'noise reduction', 'remote work']"
112,Kelpie Marine,medium,manufacturing,East Bryan,in-office,"['modified training materials', 'assistive technology', 'flexible schedule', 'physical workspace modifications', 'noise reduction', 'interpreter services']"
113,Luna Pharmaceuticals,large,healthcare,South Barbara,remote-friendly,"['remote work', 'flexible schedule', 'modified training materials', 'physical workspace modifications', 'assistive technology', 'noise reduction']"
114,Medusa Security,large,finance,Wellsville,in-office,"['modified training materials', 'noise reduction']"
115,Nyx Technologies,medium,tech,Valdezview,in-office,"['noise reduction', 'remote work', 'modified training materials', 'assistive technology']"
116,Oracular Solutions,small,manufacturing,East Katie,hybrid,"['noise reduction', 'flexible schedule', 'modified training materials', 'remote work', 'physical workspace modifications']"
117,Perseus Defense,medium,retail,New Christopherfurt,in-office,"['remote work', 'physical workspace modifications']"
118,Quintessence Biotech,large,healthcare,Richardsonmouth,remote-friendly,"['remote work', 'physical workspace modifications', 'noise reduction']"
119,Raven Intelligence,large,retail,North Andrew,in-office,"['physical workspace modifications', 'modified training materials', 'assistive technology', 'flexible schedule', 'interpreter services']"
120,Selene Medical,medium,healthcare,Lake Ericside,remote-friendly,"['remote work', 'modified training materials', 'flexible schedule', 'noise reduction']"
121,Tartarus Mining,large,tech,Alvarezmouth,hybrid,"['flexible schedule', 'assistive technology', 'remote work', 'modified training materials', 'interpreter services']"
122,Ulysses Expeditions,medium,tech,Heatherfurt,in-office,"['remote work', 'assistive technology', 'noise reduction', 'physical workspace modifications', 'modified training materials', 'flexible schedule']"
123,Vulcan Manufacturing,small,retail,North Tina,hybrid,"['flexible schedule', 'remote work', 'assistive technology', 'interpreter services']"
124,Wendigo Timber,large,healthcare,Irwinhaven,remote-friendly,"['modified training materials', 'remote work', 'flexible schedule', 'physical workspace modifications']"
125,Xerxes Consulting,medium,retail,Nashland,remote-friendly,"['assistive technology', 'interpreter services', 'physical workspace modifications', 'modified training materials', 'flexible schedule', 'remote work']"
126,Yeti Outdoor,small,retail,Pottsbury,hybrid,"['noise reduction', 'assistive technology', 'remote work', 'modified training materials', 'flexible schedule']"
127,Zodiac Innovations,small,finance,Lewisshire,remote-friendly,"['flexible schedule', 'noise reduction', 'remote work']"
128,Aether Communications,small,healthcare,South Valerieburgh,remote-friendly,"['remote work', 'physical workspace modifications', 'assistive technology', 'modified training materials', 'interpreter services', 'noise reduction']"
129,Behemoth Construction,small,finance,Port James,hybrid,"['assistive technology', 'interpreter services', 'flexible schedule', 'modified training materials', 'noise reduction', 'remote work']"
130,Colossus Logistics,small,finance,Jennifertown,remote-friendly,"['remote work', 'noise reduction', 'physical workspace modifications', 'modified training materials', 'interpreter services', 'flexible schedule']"
131,Dryad Forestry,large,healthcare,Johnsonshire,remote-friendly,"['remote work', 'assistive technology', 'flexible schedule', 'interpreter services']"
132,Empyrean Software,large,healthcare,New Vickieview,in-office,"['noise reduction', 'modified training materials', 'physical workspace modifications', 'assistive technology']"
133,Fenrir Security,large,healthcare,Lake Brian,remote-friendly,"['remote work', 'flexible schedule', 'physical workspace modifications', 'interpreter services', 'modified training materials', 'assistive technology']"
134,Garuda Aviation,small,finance,West Ashley,hybrid,"['remote work', 'noise reduction', 'assistive technology', 'physical workspace modifications', 'modified training materials']"
135,Helicon Media,small,finance,Thomasbury,remote-friendly,"['physical workspace modifications', 'noise reduction', 'interpreter services', 'remote work']"
136,Ichor Biotech,large,finance,South Sean,hybrid,"['flexible schedule', 'remote work', 'modified training materials', 'physical workspace modifications', 'interpreter services', 'noise reduction']"
137,Jormungandr Systems,small,retail,East Hannahborough,hybrid,"['interpreter services', 'remote work', 'assistive technology', 'modified training materials']"
138,Kraken Maritime,large,finance,South Thomasfort,hybrid,"['assistive technology', 'interpreter services', 'flexible schedule', 'modified training materials', 'noise reduction', 'physical workspace modifications', 'remote work']"
139,Lycan Security,large,healthcare,Oscarmouth,hybrid,"['modified training materials', 'interpreter services', 'remote work', 'noise reduction']"
140,Minotaur Engineering,small,retail,North Kathrynborough,remote-friendly,"['remote work', 'modified training materials', 'interpreter services', 'physical workspace modifications', 'flexible schedule']"
141,Norn Analytics,medium,tech,Sarahview,remote-friendly,"['flexible schedule', 'modified training materials', 'remote work']"
142,Orpheus Sound,medium,manufacturing,Lindaborough,remote-friendly,"['physical workspace modifications', 'interpreter services', 'modified training materials', 'assistive technology', 'noise reduction', 'flexible schedule', 'remote work']"
143,Proteus Marine,large,tech,Thompsonview,remote-friendly,"['interpreter services', 'physical workspace modifications', 'assistive technology', 'remote work']"
144,Quirinus Solutions,small,manufacturing,Jenniferview,hybrid,"['assistive technology', 'interpreter services', 'noise reduction', 'remote work']"
145,Revenant Technologies,medium,retail,Davidland,hybrid,"['modified training materials', 'flexible schedule', 'remote work']"
146,Styx Logistics,large,manufacturing,South Teresa,hybrid,"['interpreter services', 'noise reduction', 'physical workspace modifications', 'flexible schedule', 'modified training materials', 'remote work']"
147,Tantalus Resources,large,retail,Stevensland,remote-friendly,"['remote work', 'modified training materials', 'noise reduction', 'flexible schedule']"
148,Unicorn Ventures,small,tech,Lawrenceberg,remote-friendly,"['remote work', 'assistive technology']"
149,Valiant Defense,medium,manufacturing,Nicholasport,remote-friendly,"['modified training materials', 'flexible schedule', 'physical workspace modifications', 'remote work']"
150,Wyrd Consulting,medium,healthcare,Ashleyton,in-office,"['physical workspace modifications', 'interpreter services']"
151,Xerion Technologies,small,finance,South Stephenfurt,hybrid,"['remote work', 'assistive technology', 'modified training materials', 'noise reduction', 'flexible schedule']"
152,Yukon Industries,small,finance,Nataliemouth,in-office,"['physical workspace modifications', 'remote work', 'modified training materials']"
153,Zion Software,large,tech,East Adamfort,in-office,"['physical workspace modifications', 'modified training materials', 'flexible schedule', 'interpreter services', 'assistive technology', 'noise reduction']"
154,Argonaut Systems,medium,tech,Port Danielle,hybrid,"['assistive technology', 'noise reduction', 'physical workspace modifications', 'modified training materials', 'remote work', 'interpreter services']"
155,Banshee Audio,small,manufacturing,Duncanborough,in-office,"['physical workspace modifications', 'interpreter services', 'assistive technology', 'modified training materials']"
156,Centaur Analytics,medium,tech,Lopezport,in-office,"['remote work', 'flexible schedule', 'assistive technology', 'interpreter services']"
157,Druid Networks,small,healthcare,Port Tiffanyfurt,hybrid,"['flexible schedule', 'modified training materials', 'remote work']"
158,Eldritch Security,medium,tech,Amandaland,in-office,"['physical workspace modifications', 'flexible schedule', 'remote work', 'assistive technology', 'modified training materials']"
159,Fafnir Engineering,medium,manufacturing,West Melinda,hybrid,"['noise reduction', 'assistive technology', 'remote work', 'flexible schedule']"
160,Golem Robotics,large,retail,New Kevinville,hybrid,"['flexible schedule', 'assistive technology', 'remote work']"
161,Harpy Drones,small,retail,Roberthaven,remote-friendly,"['assistive technology', 'physical workspace modifications', 'remote work']"
162,Ithaca Solutions,small,healthcare,Joseport,in-office,"['modified training materials', 'assistive technology', 'physical workspace modifications']"
163,Jotun Construction,small,manufacturing,East Danielle,in-office,"['physical workspace modifications', 'interpreter services', 'assistive technology', 'remote work']"
164,Kitsune Digital,small,manufacturing,North Austin,hybrid,"['remote work', 'flexible schedule', 'modified training materials']"
165,Lethe Data,large,healthcare,Donnaberg,hybrid,"['physical workspace modifications', 'modified training materials', 'assistive technology', 'remote work']"
166,Manticore Defense,large,manufacturing,Lake Devin,in-office,"['noise reduction', 'flexible schedule']"
167,Naiad Aquatics,large,retail,Gallagherberg,in-office,"['noise reduction', 'remote work']"
168,Orthrus Security,small,tech,South Robin,in-office,"['physical workspace modifications', 'interpreter services']"
169,Phaethon Energy,large,retail,Markstad,remote-friendly,"['assistive technology', 'noise reduction', 'remote work', 'modified training materials', 'flexible schedule']"
170,Quetzal Aviation,medium,finance,West Anthony,remote-friendly,"['assistive technology', 'interpreter services', 'modified training materials', 'physical workspace modifications', 'remote work', 'noise reduction']"
171,Raiju Electronics,large,manufacturing,Jamesmouth,hybrid,"['modified training materials', 'interpreter services', 'remote work']"
172,Siren Communications,large,manufacturing,South Theresa,in-office,"['assistive technology', 'remote work']"
173,Typhon Systems,large,retail,Chadville,remote-friendly,"['physical workspace modifications', 'remote work', 'assistive technology', 'interpreter services', 'flexible schedule', 'modified training materials']"
174,Undine Water,large,retail,Marchaven,hybrid,"['flexible schedule', 'noise reduction', 'remote work', 'modified training materials', 'interpreter services', 'assistive technology']"
175,Valkyrie Aerospace,large,manufacturing,Hernandezville,in-office,"['modified training materials', 'remote work']"
176,Wraith Security,small,retail,Port George,hybrid,"['flexible schedule', 'remote work']"
177,Xolotl Technologies,medium,manufacturing,West Laurenmouth,in-office,"['physical workspace modifications', 'flexible schedule', 'modified training materials']"
178,Yaldabaoth Systems,large,retail,North Elizabeth,in-office,"['assistive technology', 'remote work']"
179,Zmey Engineering,medium,manufacturing,Port Ashleyfurt,remote-friendly,"['assistive technology', 'flexible schedule', 'modified training materials', 'noise reduction', 'remote work']"
180,Abraxas Solutions,small,tech,Lake Linda,remote-friendly,"['interpreter services', 'noise reduction', 'modified training materials', 'assistive technology', 'flexible schedule', 'remote work']"
181,Berith Networks,large,retail,Lake Gloria,remote-friendly,"['remote work', 'assistive technology', 'interpreter services', 'noise reduction']"
182,Cernunnos Forestry,medium,tech,Sweeneyborough,remote-friendly,"['assistive technology', 'physical workspace modifications', 'remote work', 'interpreter services', 'noise reduction']"
183,Dagon Maritime,large,manufacturing,Andrewchester,hybrid,"['remote work', 'interpreter services', 'assistive technology', 'modified training materials', 'physical workspace modifications', 'noise reduction']"
184,Enlil Energy,large,tech,Scottside,remote-friendly,"['remote work', 'physical workspace modifications', 'noise reduction']"
185,Forseti Legal,small,healthcare,South Elizabeth,hybrid,"['physical workspace modifications', 'assistive technology', 'interpreter services', 'flexible schedule', 'remote work']"
186,Gaia Sustainability,small,healthcare,South Barbarahaven,hybrid,"['flexible schedule', 'modified training materials', 'noise reduction', 'remote work']"
187,Heimdall Security,medium,finance,Rachelfort,in-office,"['remote work', 'interpreter services', 'modified training materials', 'flexible schedule', 'physical workspace modifications', 'noise reduction']"
188,Ishtar Cosmetics,large,retail,New Joshuaton,in-office,"['remote work', 'noise reduction', 'flexible schedule', 'assistive technology', 'interpreter services']"
189,Janus Innovations,large,finance,Newtontown,remote-friendly,"['modified training materials', 'flexible schedule', 'remote work']"
190,Kali Defense,small,finance,Sandersview,remote-friendly,"['interpreter services', 'flexible schedule', 'remote work', 'physical workspace modifications', 'modified training materials', 'noise reduction']"
191,Loki Systems,medium,manufacturing,North Michael,hybrid,"['assistive technology', 'noise reduction', 'interpreter services', 'physical workspace modifications', 'flexible schedule', 'remote work']"
192,Marduk Technologies,small,healthcare,Haynesfort,remote-friendly,"['noise reduction', 'physical workspace modifications', 'flexible schedule', 'modified training materials', 'interpreter services', 'remote work']"
193,Nidhogg Networks,medium,healthcare,Hartstad,hybrid,"['noise reduction', 'assistive technology', 'interpreter services', 'physical workspace modifications', 'remote work']"
194,Osiris Medical,medium,retail,Annport,remote-friendly,"['interpreter services', 'physical workspace modifications', 'noise reduction', 'remote work']"
195,Pazuzu Air,large,finance,Matthewberg,hybrid,"['noise reduction', 'remote work', 'interpreter services', 'flexible schedule']"
196,Quetzalcoatl Aviation,small,tech,East Matthew,in-office,"['physical workspace modifications', 'noise reduction', 'interpreter services']"
197,Reshef Communications,large,manufacturing,Cervantesshire,hybrid,"['flexible schedule', 'assistive technology', 'remote work', 'physical workspace modifications']"
198,Sobek Aquatics,small,healthcare,Lake Lori,hybrid,"['assistive technology', 'remote work', 'noise reduction', 'flexible schedule']"
199,Babcock Industries,small,finance,South Angela,remote-friendly,"['remote work', 'physical workspace modifications', 'interpreter services', 'noise reduction']"
